"Time","Percentual_Bolha_Flotavel Monitor: Percentual_Bolha_Flotavel Monitor"
15.46428571428543,1.1933561068810598E-6
15.481428571428285,1.1932251590985404E-6
15.49714285714257,1.1929832100707977E-6
15.514285714285428,1.1926663642171295E-6
15.529999999999713,1.1927644194793646E-6
15.54714285714257,1.192573041438048E-6
15.562857142856856,1.1917139486488244E-6
15.579999999999712,1.1916434258792164E-6
15.595714285713997,1.1916766271340224E-6
15.612857142856855,1.1918165202885407E-6
15.62857142857114,1.1918691536638892E-6
15.645714285713996,1.1914723638152783E-6
15.662857142856854,1.191552706907538E-6
15.67857142857114,1.19160857453378E-6
15.695714285713995,1.1905241616260316E-6
15.71142857142828,1.1905261607504959E-6
15.728571428571138,1.190666136826045E-6
15.744285714285423,1.1895572867337474E-6
15.76142857142828,1.1889513734500223E-6
15.777142857142564,1.1887996245450808E-6
15.794285714285422,1.1887996232731454E-6
15.809999999999707,1.188667112501963E-6
15.827142857142563,1.187923785150155E-6
15.84285714285685,1.1873889769118603E-6
15.859999999999706,1.1869161301235502E-6
15.875714285713991,1.1863498418059909E-6
15.89285714285685,1.186136765756156E-6
15.908571428571134,1.1859584909562313E-6
15.92571428571399,1.1859326229488977E-6
15.942857142856848,1.185381511965321E-6
15.958571428571133,1.1854772315153734E-6
15.97571428571399,1.1852180998137367E-6
15.991428571428274,1.1845741264682612E-6
16.00857142857113,1.1843282691611954E-6
16.02428571428542,1.184363402593223E-6
16.04142857142828,1.184418665227161E-6
16.05714285714257,1.1842422563378319E-6
16.074285714285427,1.1843100012535606E-6
16.089999999999716,1.1844193245043207E-6
16.107142857142577,1.1839646179559191E-6
16.122857142856862,1.1832371056327414E-6
16.139999999999723,1.1833691043359093E-6
16.155714285714012,1.1833727538517652E-6
16.17285714285687,1.1831191672889968E-6
16.18857142857116,1.1831946877427294E-6
16.20571428571402,1.1827687028655238E-6
16.222857142856878,1.1827997858526753E-6
16.238571428571166,1.182781166033149E-6
16.255714285714028,1.1823477061439636E-6
16.271428571428316,1.1823809100927568E-6
16.288571428571174,1.1824993809240833E-6
16.304285714285463,1.1820579846866743E-6
16.321428571428324,1.1820787262458742E-6
16.337142857142613,1.1822021400803324E-6
16.35428571428547,1.1820207978465434E-6
16.36999999999976,1.1818713620486846E-6
16.38714285714262,1.1813135853067075E-6
16.402857142856906,1.181274696367054E-6
16.419999999999767,1.1808173097173687E-6
16.435714285714056,1.1803101588766555E-6
16.452857142856914,1.1797504952150413E-6
16.469999999999775,1.1798159322757127E-6
16.485714285714064,1.179370106724168E-6
16.50285714285692,1.1794288839026374E-6
16.51857142857121,1.1795440485323416E-6
16.53571428571407,1.179140548180267E-6
16.55142857142836,1.1792004264981224E-6
16.568571428571218,1.1792650442571223E-6
16.584285714285507,1.1792738214084741E-6
16.601428571428368,1.1793038918477492E-6
16.617142857142657,1.1786161229077138E-6
16.634285714285515,1.1781140020529556E-6
16.649999999999803,1.1782159611892877E-6
16.667142857142665,1.1782680365923385E-6
16.68285714285695,1.1778559802691978E-6
16.69999999999981,1.1772807521369855E-6
16.7157142857141,1.1768386864450714E-6
16.732857142856957,1.1769459087256385E-6
16.74999999999982,1.1767268710752846E-6
16.765714285714107,1.1761932521716078E-6
16.782857142856965,1.1760052085006345E-6
16.798571428571254,1.1755535197069156E-6
16.815714285714115,1.1756459523883092E-6
16.831428571428404,1.1754671335493137E-6
16.848571428571262,1.1755898019312437E-6
16.86428571428555,1.1751770198157088E-6
16.881428571428412,1.1745688180390337E-6
16.8971428571427,1.17467852753801E-6
16.91428571428556,1.1745640041206025E-6
16.929999999999847,1.174706095933743E-6
