N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,pureza_topo,recuperacao,Q_refervedor,R_sobre_Rmin,T_condensador
180,0.6035630579076707,15.38698158492148,98.15133848221269,21.88265371689759,0.6798782234513434,96.83629050192314,95.04611526416136,34.61728036844758,1.158543230133163,52.82185445205897
120,0.4667787681836635,14.46552601309866,99.81834396535754,21.0348519248087,0.7514650318370433,95.58808391176399,95.41444238893918,37.39627038049804,1.257596398824977,50.91854431801653
140,0.3718860641544685,10.67684906537831,98.41756199704837,20.32311112008803,0.748774357758346,92.95636260177338,91.48538579380141,28.1572828056435,1.102079440924793,49.27901161650789
110,0.6872735675729811,13.42344372686371,98.01094952818521,18.19465489528142,0.8423326988316374,97.56803645274827,95.62735896334445,40.69838357881038,1.254961680760418,44.1232012060006
140,0.3132792825620621,9.879501272220164,99.88602920800639,19.35561861943826,0.7987191762193339,93.78955394036051,93.6826612429274,28.97555273632203,1.107726420688421,46.98478101181502
110,0.6858032162891701,17.32967626008764,98.27276848752932,15.8273152876962,0.8313963938093512,99.02111220836372,97.31078835430191,53.64445040222344,1.565368140762803,37.86354027230851
140,0.5795548749965616,18.55161136747524,97.28520995546958,15.41135801662505,0.6688425185489002,99.11595122238732,96.42516124606034,45.94290019737153,1.559731446465529,36.6963427861217
230,0.6333600954983383,8.438613967556506,97.50166580761746,21.68046761247143,0.6348833056529983,84.98301760750401,82.85985782089725,18.57693962514916,1.000142123981349,52.37266736157687
190,0.498732520776242,18.33746002703533,98.21820538451246,19.16827561403811,0.7075914580498589,98.81833999975785,97.05760013852802,45.03614912870227,1.424803783823972,46.53130951474617
100,0.6588254882558249,8.764737396679818,98.86839798897182,20.1067587195728,0.8818068995149573,95.04966018055366,93.97407631447506,27.98264801615951,1.14073524374085,48.77270717912245
120,0.454016029388085,20.93651382244006,99.66803106357337,21.50364352690056,0.6027509763062932,95.86441313511912,95.54617306242282,42.0600316645785,1.546279534319523,51.97743377850497
120,0.3486464571387507,10.60230260373652,97.56957076765613,17.39648721131496,0.6817522805559681,91.75135278557511,89.52140108640356,26.80189457041728,1.142766895888512,42.08056553244637
260,0.6725545235873199,21.73861728031933,98.34063935800491,18.74318856195919,0.7687605655879481,99.93368324612921,98.27542303824691,58.10722351462343,1.666283082160808,45.49072940264944
220,0.513252105641365,8.228306494180114,97.66054139726079,15.34491929774173,0.793849799735751,94.32022546096654,92.11364283229696,25.87073156040137,1.005430152156985,36.50784858670596
130,0.4658518612239509,15.02974118005484,99.1239893648016,17.29253742313199,0.7717517774886684,97.72245235206354,96.86639327648277,42.67374096629125,1.35111806165575,41.80971537836268
250,0.6255495003260672,11.59829752463475,99.24514604367575,14.34090316330828,0.6838706805968424,98.10129708007578,97.36077555786143,31.53044703484314,1.051867558479655,33.58600842535043
190,0.6688800808981992,15.60240677733719,97.19823962041531,21.21927263841219,0.6064931951632491,97.08661089235433,94.36647669449077,31.42676038591692,1.124810268412396,51.33704728571735
240,0.4620305796338245,18.1706115649119,98.12895970731131,21.98108897408471,0.6285399441589136,97.89002949138992,96.05846759708116,37.35144344269813,1.270207381210923,53.03950061967294
170,0.4364137434863485,18.08804310629889,99.32481703204341,16.51915227675252,0.7702204134126194,99.06316829213944,98.39431065231275,51.60094772319746,1.555253141885412,39.75762733832187
130,0.5388776310195215,10.71114859069511,97.96118788003044,14.01599944790639,0.7919068569255061,97.06600853836041,95.08701499190963,33.71404057803554,1.128185236141924,32.60933511373287
200,0.4504971703344956,16.14952981947735,98.2740361801205,17.00958586997725,0.8495223698109622,99.31364147417459,97.59952395412549,50.1050188928529,1.38045400962722,41.06659759559597
190,0.5427753990710713,10.32458752154186,98.95120656370186,16.91102809807844,0.8915950042004697,98.00289349251321,96.97504557818148,35.03271764803821,1.044857011519615,40.8057069682161
230,0.371159805024974,8.162090041577816,97.60669580181911,17.91706325456127,0.7233527608427452,90.49983780137273,88.33390138392558,22.23273096452373,1.007038275342786,43.42008500307617
240,0.5041585889161564,14.82643427873775,97.42218990458939,20.42338679688796,0.7430216887638671,97.9818072026515,95.45602228491578,37.40886885697965,1.163718810574844,49.51239997920646
120,0.5033989076686092,10.58474321537092,97.03895683107399,17.54471905330196,0.6017204161341302,90.22751234976303,87.5558367588385,23.42210186060753,1.058077630281698,42.46483054831805
240,0.6817331740534864,14.80919132598117,99.70467296671563,19.79586728499457,0.7685468423870159,98.84642893972782,98.55450871363259,40.07637639505564,1.15301104386867,48.03845892682995
140,0.5550022386390716,12.26467474306375,99.84144702473537,17.86373435936868,0.7922852847959614,97.02320668659301,96.86937350569426,36.10115960691232,1.144797752577637,43.28413155974539
200,0.4260915212281048,20.39288574682921,98.56857458399017,16.41249259970337,0.6341016651783837,99.22788059659028,97.80750749396279,47.34812658813279,1.62218214949871,39.46932592461218
110,0.3849050771146081,20.89879071358964,98.21084933258132,19.81524615376257,0.8743481915939133,98.49884923848408,96.73655641993403,62.18464770645809,1.744373600532527,48.08446154681167
230,0.6162753457408399,22.01541541777178,98.72843022537583,18.70937779150903,0.6748127529269317,99.80835608691795,98.53922319836745,51.8661255282962,1.649213106377609,45.40725556550944
250,0.6505890496587381,21.63505310612544,99.69870889125814,20.75055534436926,0.6618976357979933,99.71180830091298,99.4113854881366,48.44104896795179,1.515987841980617,50.26836058521735
150,0.6605923240714706,10.21091172839329,98.30831110926806,18.3734248388242,0.732172079791082,94.00302732556187,92.41278855534365,27.48094512091694,1.033321392715793,44.57202792761802
130,0.5655896520976909,16.80546051182225,98.35277458691155,19.2632682432998,0.8584706387545216,98.75052897171996,97.12388516293852,50.28168059479552,1.386755386883401,46.76162907132107
220,0.4254141284398734,15.69519559018314,97.62490036976482,16.43601127594151,0.8983436323845992,99.56436523547379,97.19961236492004,51.82383099748929,1.355451660086508,39.53301058729204
240,0.3636252068579197,12.35119675473869,97.2479827198337,16.23639189362898,0.8383389873251785,98.33697716562799,95.63072656123673,38.67776805459727,1.160671251985977,38.99041112279497
180,0.6815579355881549,15.67342366940528,97.69537896488349,19.93157294088788,0.8120981011245401,98.85029473615548,96.57217005039135,43.63972318163995,1.230154009103036,48.35994562131151
100,0.4102042876300402,18.1196771646589,98.79361988540569,15.81410705315322,0.6867485501358518,96.88550323007605,95.71669578518379,46.47809538020393,1.65494435287337,37.82681379913078
140,0.6326606868645176,19.07649304361642,99.80561672814021,21.96087232642248,0.804195272889873,98.37286988887583,98.18164948576344,50.92557226024928,1.421081333484338,52.9948557178808
240,0.4204467258488759,16.92207760040834,97.29858225945728,17.37730289113149,0.8262538827080979,99.419355338827,96.73362323617073,50.05580008170536,1.410037394934383,42.03066513248689
150,0.6328582680905237,19.6703734193407,97.00144790733191,15.50131394634768,0.8653289007843006,99.7972422797653,96.80476998296035,62.54733944481376,1.710109752950854,36.9506408551689
160,0.3522199212416075,18.85586200406775,98.11857240731379,21.99679956797324,0.8375812412136001,97.92924473494587,96.08677690319337,51.53002607118089,1.468278052285163,53.07417501743134
