N,pos,R,corte,P,lucro,pureza_nom,pureza_pior,Q,cascos,recuperacao,altura,aprox,precisa_refrig
310.000000,0.608883,19.542348,99.807440,20.424933,61.710730,99.778438,99.662554,50.210246,4.000000,99.586304,222.400000,9.515993,0.000000
320.000000,0.748589,21.133645,99.816246,19.037066,59.355863,99.976349,99.963086,55.675541,4.000000,99.792639,229.600000,6.211860,0.000000
290.000000,0.745049,18.818485,99.707383,18.705294,61.599421,99.913824,99.865286,50.134239,4.000000,99.621459,208.000000,5.397165,0.000000
290.000000,0.631025,21.285508,99.503646,20.591933,60.183110,99.844977,99.763183,54.115551,4.000000,99.349392,208.000000,9.902891,0.000000
290.000000,0.706979,20.265505,99.744692,20.337056,61.257553,99.868771,99.801165,52.040554,4.000000,99.613798,208.000000,9.311515,0.000000
270.000000,0.711857,18.534217,99.656303,19.135195,62.347621,99.822966,99.724173,48.960115,4.000000,99.479878,194.200000,6.450915,0.000000
240.000000,0.637175,21.971386,99.761633,18.623853,59.835335,99.889269,99.822777,58.237589,3.000000,99.651166,173.200000,5.195633,0.000000
310.000000,0.643364,20.596629,99.837166,19.790466,60.477986,99.901514,99.847878,53.503333,4.000000,99.738840,222.400000,8.025631,0.000000
300.000000,0.674760,20.732199,99.754184,19.879758,60.457389,99.906821,99.856529,53.695298,4.000000,99.661234,215.200000,8.237378,0.000000
320.000000,0.698014,17.838097,99.560760,18.815611,61.919100,99.877233,99.808601,47.477801,4.000000,99.438531,229.600000,5.669175,0.000000
240.000000,0.686048,19.437465,99.656398,18.698306,61.982429,99.821556,99.717735,51.680934,3.000000,99.478568,173.200000,5.379897,0.000000
310.000000,0.639309,20.404468,99.801717,19.602952,60.499352,99.902103,99.848203,53.213654,4.000000,99.704015,222.400000,7.578781,0.000000
240.000000,0.638724,19.995200,99.586352,18.910955,61.532446,99.794167,99.673197,52.825588,3.000000,99.381371,173.200000,5.903365,0.000000
270.000000,0.663390,21.966242,99.866959,19.148387,59.570874,99.926647,99.884360,57.668218,4.000000,99.793703,194.200000,6.482986,0.000000
250.000000,0.666482,21.792345,99.571284,19.885608,60.370324,99.860256,99.782816,56.204625,3.000000,99.432139,179.800000,8.251227,0.000000
250.000000,0.744160,19.899946,99.805485,18.996720,61.809398,99.875808,99.807253,52.609790,3.000000,99.681534,179.800000,6.113322,0.000000
290.000000,0.725497,19.512915,99.582089,19.853062,61.456158,99.874046,99.807687,50.623218,4.000000,99.456661,208.000000,8.174139,0.000000
310.000000,0.650253,20.926863,99.558834,16.536650,53.107700,99.985266,99.975602,57.835066,4.000000,99.544164,222.400000,10.000000,1.000000
250.000000,0.569600,20.726978,99.940287,18.600257,61.008347,99.807491,99.690684,55.207720,3.000000,99.747892,179.800000,5.137128,0.000000
310.000000,0.718166,16.337839,99.653047,16.522532,58.722784,99.916152,99.861698,45.786911,4.000000,99.569490,222.400000,10.000000,1.000000
240.000000,0.671130,18.250026,99.506138,18.564630,62.757052,99.736491,99.579861,48.736452,3.000000,99.243931,173.200000,5.048693,0.000000
280.000000,0.646195,15.327658,99.526020,16.512997,60.207139,99.718329,99.522375,43.072289,4.000000,99.245684,201.400000,10.000000,1.000000
250.000000,0.714260,21.421334,99.790236,19.353659,60.671228,99.900103,99.844984,56.021156,3.000000,99.690549,179.800000,6.980053,0.000000
300.000000,0.614672,20.707234,99.678982,19.478452,60.157828,99.889910,99.828006,54.038046,4.000000,99.569246,215.200000,7.280439,0.000000
280.000000,0.736662,21.005328,99.541072,20.621846,60.636609,99.882200,99.822869,53.421747,4.000000,99.423812,201.400000,9.971962,0.000000
280.000000,0.680636,21.192181,99.797878,20.098229,60.543823,99.888901,99.829406,54.608059,4.000000,99.687004,201.400000,8.752669,0.000000
290.000000,0.715220,19.133751,99.545305,19.224011,61.406078,99.887749,99.825920,50.315258,4.000000,99.433565,208.000000,6.666542,0.000000
270.000000,0.565902,21.599705,99.555182,19.895742,59.932140,99.805058,99.694460,55.708899,4.000000,99.361107,194.200000,8.275210,0.000000
230.000000,0.684500,20.298125,99.857653,19.649065,62.215162,99.760564,99.629282,52.928703,3.000000,99.618558,166.000000,7.688946,0.000000
270.000000,0.618963,19.200866,99.824802,18.957444,61.873366,99.801094,99.685558,50.900552,4.000000,99.626245,194.200000,6.017255,0.000000
300.000000,0.676879,19.997538,99.716011,20.778452,61.513462,99.819610,99.728958,50.896871,4.000000,99.536133,215.200000,10.332435,0.000000
260.000000,0.685984,20.921089,99.920203,19.741445,61.082698,99.864707,99.791163,54.407316,4.000000,99.785018,187.000000,7.909099,0.000000
300.000000,0.568098,19.370781,99.897202,18.943927,61.343833,99.823532,99.720974,51.380040,4.000000,99.720916,215.200000,5.984160,0.000000
310.000000,0.627290,21.940236,99.649298,19.618332,58.933519,99.935250,99.898816,56.926614,4.000000,99.584775,222.400000,7.615544,0.000000
310.000000,0.702364,21.002949,99.540709,20.627823,60.165701,99.906960,99.859740,53.409077,4.000000,99.448096,222.400000,9.985754,0.000000
290.000000,0.561922,21.952059,99.698124,19.249294,59.102243,99.889500,99.824847,57.416734,4.000000,99.587958,208.000000,6.727796,0.000000
260.000000,0.731984,20.672478,99.764805,16.517450,54.487596,99.975658,99.959932,57.304039,4.000000,99.740521,187.000000,10.000000,1.000000
270.000000,0.552114,19.231933,99.577756,16.500238,55.770748,99.886777,99.811867,53.412922,4.000000,99.465011,194.200000,10.000000,1.000000
230.000000,0.710616,21.715458,99.835838,19.449935,60.852791,99.858358,99.781398,56.670054,3.000000,99.694428,166.000000,7.211916,0.000000
290.000000,0.668584,18.865504,99.670937,16.571889,56.041154,99.956672,99.928660,52.420521,4.000000,99.627751,208.000000,10.000000,1.000000
310.000000,0.694157,21.127868,99.566738,19.399474,59.420207,99.951400,99.924339,55.112338,4.000000,99.518349,222.400000,7.090491,0.000000
270.000000,0.725995,17.693998,99.792854,18.954357,63.190099,99.783264,99.661068,47.091545,4.000000,99.576567,194.200000,6.009697,0.000000
320.000000,0.683409,21.464914,99.794110,18.990573,58.995873,99.968845,99.950950,56.549791,4.000000,99.763020,229.600000,6.098294,0.000000
300.000000,0.590065,21.462425,99.819722,20.514958,60.243807,99.840652,99.755415,54.806776,4.000000,99.660661,215.200000,9.724832,0.000000
280.000000,0.700536,17.566148,99.812171,18.786836,63.084458,99.791735,99.672473,46.937958,4.000000,99.604297,201.400000,5.598333,0.000000
300.000000,0.720120,17.525910,99.769023,19.890212,63.354449,99.737923,99.600029,45.770205,4.000000,99.507551,215.200000,8.262123,0.000000
280.000000,0.641429,20.530968,99.828829,20.456674,61.350604,99.807395,99.705669,52.603012,4.000000,99.636554,201.400000,9.589697,0.000000
290.000000,0.724717,17.994968,99.929309,19.467362,63.083378,99.805372,99.700858,47.415664,4.000000,99.734819,208.000000,7.253799,0.000000
280.000000,0.563882,21.428271,99.686159,19.761970,60.010488,99.826413,99.727760,55.512229,4.000000,99.513117,201.400000,7.957915,0.000000
300.000000,0.616134,20.170960,99.554094,18.723449,60.014519,99.908984,99.855785,53.453557,4.000000,99.463483,215.200000,5.442009,0.000000
190.000000,0.745821,21.338424,99.664666,18.664576,61.123433,99.765811,99.639681,56.531236,3.000000,99.431262,137.800000,5.296483,0.000000
270.000000,0.740649,19.030172,99.848868,20.572553,62.897572,99.746361,99.620402,48.827546,4.000000,99.595612,194.200000,9.858104,0.000000
270.000000,0.742167,20.576222,99.812592,20.133819,61.283522,99.876219,99.812617,53.060962,4.000000,99.689043,194.200000,8.836240,0.000000
290.000000,0.695704,17.374536,99.922708,18.908287,63.340999,99.782378,99.658995,46.390455,4.000000,99.705255,208.000000,5.896824,0.000000
290.000000,0.601059,21.209173,99.927383,18.812646,59.786551,99.912930,99.861537,56.183449,4.000000,99.840376,208.000000,5.661878,0.000000
290.000000,0.608200,17.859547,99.515137,18.748264,62.258097,99.753418,99.608820,47.575014,4.000000,99.269750,208.000000,5.503250,0.000000
280.000000,0.553219,20.050052,99.617530,19.379895,60.924863,99.770988,99.638832,52.475687,4.000000,99.389394,201.400000,7.043319,0.000000
280.000000,0.745166,19.448772,99.929071,20.963353,62.664862,99.768411,99.658367,49.479131,4.000000,99.697646,201.400000,10.755605,0.000000
310.000000,0.672701,21.554659,99.779928,18.761445,58.908376,99.966562,99.946999,57.032440,4.000000,99.746563,222.400000,5.535757,0.000000
250.000000,0.670064,19.298046,99.727960,19.672830,62.617718,99.746153,99.605742,50.353211,3.000000,99.474804,179.800000,7.745650,0.000000
300.000000,0.657626,20.677204,99.651021,19.770650,60.310658,99.901224,99.847279,53.624745,4.000000,99.552590,215.200000,7.978551,0.000000
300.000000,0.556335,21.533908,99.763635,20.432622,60.066453,99.816857,99.717351,55.045056,4.000000,99.580925,215.200000,9.533853,0.000000
310.000000,0.728002,19.573259,99.806832,19.797232,61.356216,99.908284,99.860290,50.945441,4.000000,99.715293,222.400000,8.041700,0.000000
200.000000,0.616608,21.394425,99.858008,18.705823,61.191992,99.719315,99.551259,56.735492,3.000000,99.577721,145.000000,5.398473,0.000000
290.000000,0.559772,19.445061,99.548841,19.554742,61.324159,99.746207,99.602295,50.749965,4.000000,99.296193,208.000000,7.463411,0.000000
290.000000,0.636645,19.338663,99.631187,18.862571,61.124384,99.870432,99.795803,51.247075,4.000000,99.502097,208.000000,5.784626,0.000000
260.000000,0.610693,21.984691,99.921167,19.239921,59.858430,99.879274,99.808863,57.638040,4.000000,99.800537,187.000000,6.705095,0.000000
240.000000,0.622702,20.557926,99.797232,19.048249,61.403965,99.797132,99.678134,54.204687,3.000000,99.594776,173.200000,6.239146,0.000000
290.000000,0.583801,21.577490,99.866521,19.615932,59.876617,99.875786,99.805155,56.151357,4.000000,99.742473,208.000000,7.609808,0.000000
310.000000,0.557114,21.364657,99.565965,20.088170,59.604543,99.852289,99.770930,54.916052,4.000000,99.418895,222.400000,8.729029,0.000000
