Run,N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,F_alimentacao,pureza_topo,pureza_fundo,recuperacao,grau_produto,Q_refervedor,Q_condensador,T_condensador,T_refervedor,precisa_refrig,diametro,altura_total,n_cascos,alfa_topo,alfa_fundo,N_min,R_min,R_sobre_Rmin,CAPEX,CAPEX_anual,OPEX,custo_total,lucro,convergiu,Solved
13,130,0.4761267432421445,8.8541746211797,99.42565690996405,19.80314760293811,0.7881816074335948,1000,92.71877132601315,71.53320551999359,92.18624746973596,1,25.54304558815309,25.54304558815309,48.05574503427977,56.61270768285021,0,3.519685934316338,95.2,2,1.076813748780638,1.14729579134458,32.78583780518103,8.555773336097326,1.03487718448821,22.16276848084079,2.913822878456545,7.068952723036074,9.982775601492619,27.89727399556755,1,1
14,120,0.5588835654873401,14.1506852093339,98.743290626009,21.49697068616748,0.6985561918434686,1000,94.76981844893051,85.54089041405182,93.57883725676855,1,33.3588799820129,33.3588799820129,51.96247461813175,60.59961227569653,0,4.046666327325577,88,2,1.06858265485058,1.154452245680641,44.52937846739673,11.86990859067264,1.192147782877914,23.73693517560047,3.120784519266912,9.23195883875546,12.35274335802237,12.46085108191331,1,1
15,250,0.5358537801411003,19.5741774699837,99.16749547668221,14.42017498698086,0.6555092480862513,1000,99.89549523631547,98.24645907996053,99.06386071988244,2,49.24192000554253,49.24192000554253,33.82190360725059,42.05821362069827,1,4.862915742722728,179.8,3,1.085977265410554,1.189061764295008,85.18449955848017,11.98157492948743,1.633689860070931,48.92375213269494,6.432190472387033,18.09476420470336,24.52695467709039,38.33836221216931,1,1
16,190,0.3448953761532902,13.34239558279514,97.94132316278807,17.02543143164366,0.6150237970151938,1000,95.11956277885496,89.42271100201388,93.1613583722694,1,30.22446868308684,30.22446868308684,41.10844248660089,49.51450203378056,0,3.80786651107008,137.8,3,1.083186601282139,1.172879608073886,42.65014681644493,11.44982186921325,1.165292852168358,37.71550851071208,4.958600351131146,8.364520959815339,13.32312131094648,-0.5936189029334095,1,1
17,140,0.4111964637860656,19.3005518195033,98.49076034904458,20.38210251882672,0.8582458895291202,1000,98.62616037535537,84.1209896235043,97.13765525675562,1,56.08178357358664,56.08178357358664,49.41640920608938,58.00167808091447,0,5.224896082045778,102.4,2,1.067522619939262,1.156942835954198,56.28019468202085,12.54007135564263,1.539110206962154,35.48677737046797,4.665580650456753,15.52044666471153,20.18602731516827,25.92665067728801,1,1
18,240,0.6606206592451781,18.27997189283371,97.6127149141347,19.49521271906793,0.7959951176969334,1000,99.68541513928942,90.3828489906337,97.30564009088624,2,49.86594739591956,49.86594739591956,47.32068046105064,55.86218130355428,0,4.913448550305471,173.2,3,1.069174362587471,1.165400409006087,72.73447953472956,13.18931550592573,1.385968201656927,47.60429723389249,6.258716753408929,13.80023472199609,20.05895147540501,68.91744668802029,1,1
19,130,0.5217567841205746,15.78041433900595,97.46948780153458,15.77596539750695,0.8043885839846917,1000,98.77405546052594,86.12425678756365,96.27456593817833,1,47.17403428865033,47.17403428865033,37.72063589871868,46.04923536096561,1,4.754889705596527,95.2,2,1.082827494268992,1.174206207467881,51.75353665779097,11.0152409021719,1.432598204538086,32.6144693501295,4.287947466638964,17.33488513326938,21.62283259990834,16.05388799561666,1,1
20,150,0.3314789418559521,16.9735728354007,98.97005077702413,14.90035496097058,0.8214068725761026,1000,98.70857131017118,89.86454025848923,97.69192314695148,1,53.29612696291034,53.29612696291034,35.23141103821081,43.50147539128875,1,5.05634062029187,109.6,2,1.085854345664473,1.180407232486272,52.52206155888329,10.5709168096214,1.605685972284992,37.41734275097547,4.919399372560082,19.58455012130412,24.5039494938642,17.12686480019523,1,1
21,120,0.6382260117735713,9.144811469092964,97.10150630389853,19.31836821615696,0.7545791273983196,1000,92.24858755847197,70.56906470169623,89.57476806334699,1,24.83303420578811,24.83303420578811,46.89486044273002,55.4273497301748,0,3.465711942258945,88,2,1.079022848943227,1.148006240181928,31.30714492031409,8.831587713893461,1.035466301796081,21.40439045156314,2.814116054639012,6.872459439671172,9.686575494310183,21.22283630165262,1,1
22,160,0.6336526831574738,11.26646007560194,99.76434963057191,17.43682899724692,0.8859475172935054,1000,98.17462037329537,84.31074547489408,97.94327151770106,1,37.62134637425773,37.62134637425773,42.18537230454928,50.61552295873236,0,4.250209771017166,116.8,2,1.0779936146669,1.167016587780331,49.36999156164448,10.39545139654029,1.083787480296577,35.6283273242041,4.684190757492676,10.41158220458791,15.09577296208059,36.32892063337955,1,1
23,150,0.4454369817525148,20.314090911448,97.39419023880595,15.00459718346596,0.8328604538720101,1000,99.53222770487521,86.49818961241263,96.93860719980766,2,62.93436956168741,62.93436956168741,35.53311713396505,43.81034937882509,1,5.49405182404369,109.6,2,1.084469030856343,1.177129033619007,59.11935121054555,11.15122252054252,1.82169182562951,41.1892271137117,5.415303255711432,23.1262830016014,28.54158625731283,67.46788479068694,1,1
24,160,0.3361625308319926,9.721577624753117,97.20583087808778,14.52162080168724,0.7803225459465757,1000,95.34298933883207,76.34271583241109,92.67894497081838,1,29.88347286534445,29.88347286534445,34.12243926962748,42.36598335783714,1,3.787789794693309,116.8,2,1.091329522208534,1.169579016939774,34.34403261781823,8.78502967257571,1.106607261111597,27.68076075604641,3.639294163713172,10.9811801622519,14.62047432596508,19.70900088298074,1,1
25,140,0.6025751340650022,16.22785595081746,98.03268100844231,16.83527267292142,0.687520039615687,1000,98.43723960786627,92.62018096076699,96.50066509829558,1,40.77564903392641,40.77564903392641,40.60444548450795,48.99914236273969,0,4.422158767063966,102.4,2,1.079687528841021,1.176254001082029,55.83717369473645,11.94731604348432,1.358284646673226,38.73573007237761,5.092732733105246,11.28452495130902,16.37725768441426,6.110271992841723,1,1
26,240,0.3489647405873984,15.33204094402492,98.88656914709462,17.60304786574095,0.7472935721478424,1000,98.34560496289872,92.12873478767621,97.25059465476538,1,41.74097719684932,41.74097719684932,42.61541073594225,51.05510972920911,0,4.477833082498645,173.2,3,1.077220368806814,1.173254998205109,55.90070785765517,11.76205751079473,1.303516916998051,47.08269105275352,6.19013921872679,11.55167630263739,17.74181552136418,13.69960805948299,1,1
27,190,0.6759651090800762,21.37974385209382,99.33025628142991,16.63809664878994,0.6088898855214938,1000,99.79055237064361,98.64753880639289,99.12221141441482,2,47.71777250387942,47.71777250387942,40.07758635191067,48.46034501931166,0,4.783175743307616,137.8,3,1.078650517734288,1.18193072388389,86.10705981619839,13.10226811248292,1.631758995354758,50.24289746482415,6.605623491465408,13.20573448120695,19.81135797267235,33.77118021197797,1,1
28,240,0.4325024017170072,14.54059594407678,99.49852899635538,20.01470808643848,0.8790746851083823,1000,98.79920880719997,88.10277596373697,98.30375942320157,1,44.76482463050423,44.76482463050423,48.55613795438109,57.12355791849495,0,4.662471411267851,173.2,3,1.068541034364983,1.161682615224169,59.32826251860767,12.3982213953963,1.172796926297508,44.19514371926493,5.810502464851984,12.38851600040994,18.19901846526193,31.92911789912645,1,1
29,110,0.3153289613183587,8.0493255918473,98.22356081331428,21.69745254155248,0.6928523172168061,1000,86.1056080672129,66.54761422026736,84.57599430357291,0,19.57374261384401,19.57374261384401,52.41051364430831,61.05663084967784,0,3.102390192794533,81.39999999999999,2,1.078504612756239,1.136120528565898,24.72388929815018,7.595277219172064,1.059780355551621,16.74938968245663,2.202105522110956,5.416968022572617,7.619073544683573,-75.93977485543886,1,1
