Run,N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,F_alimentacao,pureza_topo,pureza_fundo,recuperacao,grau_produto,Q_refervedor,Q_condensador,T_condensador,T_refervedor,precisa_refrig,diametro,altura_total,n_cascos,alfa_topo,alfa_fundo,N_min,R_min,R_sobre_Rmin,CAPEX,CAPEX_anual,OPEX,custo_total,lucro,convergiu,Solved
788,180,0.6720521948488429,16.53184333515167,98.00848796019261,20.62933204555325,0.8660595391286072,1000,99.13828018487627,83.75397710667104,97.16392939893649,1,48.38351726299433,48.38351726299433,49.98923586045333,58.58629914161247,0,4.857220296120723,130.6,3,1.066048276461752,1.155784418568386,61.18081102127709,13.1928981703882,1.253086556239615,38.7013862365386,5.088217419294692,13.3899771241428,18.4781945434375,28.10579974291538,1,1
789,220,0.6445012232694775,20.46453342039883,98.13491523514311,16.9696395536568,0.6792382685188204,1000,99.85146516839424,95.90365179939269,97.98915070405214,2,50.11019357543591,50.11019357543591,40.9609852973249,49.36372622405446,0,4.902798216650075,158.8,3,1.077458854869856,1.17855643542374,80.90449720683206,12.6655689658382,1.615761082316644,54.48044980159571,7.162750501938674,13.8678290380233,21.03057953996198,45.25077293261074,1,1
790,130,0.5962886341578326,11.95537537518889,98.9362348240543,20.81669460399635,0.6198688781373901,1000,91.5851910496271,84.95058448156267,90.61093968091784,0,25.7307112165067,25.7307112165067,50.42017174219552,59.026060191216,0,3.544536594580462,95.2,2,1.074799149428315,1.156217943406985,37.90366067200691,11.2646746831168,1.061315635959491,21.60731020675457,2.84079468125909,7.120888560130841,9.961683241389931,-78.51826702724988,1,1
791,150,0.410661617014464,16.798959490031,97.11441442254095,14.47499673624709,0.7451136496230495,1000,98.71836852335527,88.86528169169236,95.86976551894246,1,47.36977066280241,47.36977066280241,33.98450076057844,42.224727073373,1,4.769221718060241,109.6,2,1.087272532261769,1.180974638854403,51.3669862733243,10.88996111965329,1.542609684777813,34.9484097180822,4.594799421843609,17.40681172622446,22.00161114806807,7.345343108663499,1,1
792,100,0.5159906639610417,12.69228623157367,98.87194972951673,17.10885089469887,0.8348450213491219,1000,97.14632398982388,81.11242669750338,96.05046461929211,1,39.47444525209015,39.47444525209015,41.32828425179457,49.73928254595802,0,4.352055241848276,74.2,2,1.080382779276185,1.165250595877466,43.29996347962012,10.03346047287501,1.264995887100634,32.44188918968455,4.265257701129436,10.92442114203178,15.18967884316121,28.24957211623816,1,1
793,220,0.623742484372761,18.60849618919939,97.75101235038349,20.89983558112383,0.6176605731956893,1000,98.91627692191271,94.84282579956044,96.69166207047843,1,38.27367283780004,38.27367283780004,50.61053139729279,59.2203051869331,0,4.324318850348557,158.8,3,1.065417395108426,1.164455345609593,68.87765525957775,14.36098098182769,1.295767762156811,37.74491811393075,4.962466942743064,10.5921113789517,15.55457832169476,-2.774823340320144,1,1
794,150,0.4417437536106444,15.24930031422526,97.60928717101557,16.78972858777083,0.6223116563508986,1000,96.741152349554,91.16759224552717,94.42834920942583,1,34.69270059539265,34.69270059539265,40.48313929392924,48.87509291535764,0,4.078856394132362,109.6,2,1.081961668969144,1.175171148773071,47.67015946878175,11.8864563444217,1.282913920882882,36.30076318250099,4.772598439497469,9.601089247439599,14.37368768693707,-0.9997903865096904,1,1
795,190,0.4117980768048204,17.11064448098093,98.31897339554499,16.74039869376272,0.7724083132306114,1000,98.96863392341355,91.34709056893269,97.30494485709529,1,48.38890569151683,48.38890569151683,40.35148716064924,48.74045987274064,0,4.817007781504118,137.8,3,1.079339840981681,1.175490361577254,58.14850758276118,11.64710422286942,1.469090011866099,50.4328689055192,6.63059975427432,13.39146835377498,20.0220681080493,14.22597236600972,1,1
796,210,0.4908540135404095,20.75627663750574,97.81825774608087,19.83008209695853,0.754531101404177,1000,99.34936441956805,91.88180133350446,97.18181735702626,1,53.08449915162942,53.08449915162942,48.11965867292366,56.67796008204613,0,5.074419202109585,151.6,3,1.068470873838315,1.165555504287025,67.94847805903741,13.21950112625734,1.570125562172571,45.25659795711282,5.950055862494954,14.69095819188294,20.64101405437789,10.65411467431673,1,1
797,130,0.5719290293632076,22.99004083594307,97.32496011105438,17.43573575579561,0.6248715844325256,1000,98.97484508025893,94.14305011978493,96.32722849433988,1,50.62757895104177,50.62757895104177,42.18253434921144,50.61262185508673,0,4.930445865876674,95.2,2,1.076993622919385,1.175518935096913,62.29531616347136,12.92511521948539,1.778710707451505,38.74824488856927,5.094378103257015,14.0110137161043,19.10539181936132,-5.713649714367948,1,1
